date_from,date_to,district_in,density,subscribers
29/06/2022,05/07/2022,48,700,397812
29/06/2022,05/07/2022,53,376,316307
29/06/2022,05/07/2022,19,1149,271585
06/07/2022,12/07/2022,6,1264,163776
06/07/2022,12/07/2022,21,217,36089
06/07/2022,12/07/2022,48,159,483430
06/07/2022,12/07/2022,53,368,77535
06/07/2022,12/07/2022,19,390,112297
13/07/2022,19/07/2022,6,804,285166
13/07/2022,19/07/2022,21,605,94457
13/07/2022,19/07/2022,48,1665,199129
13/07/2022,19/07/2022,53,1110,420452
13/07/2022,19/07/2022,19,632,174713
20/07/2022,21/07/2022,6,932,355161
20/07/2022,21/07/2022,21,412,76629
20/07/2022,21/07/2022,48,1181,440190
20/07/2022,21/07/2022,53,6,84205
20/07/2022,21/07/2022,19,1334,161982
27/07/2022,02/08/2022,6,196,277887
27/07/2022,02/08/2022,21,469,169470
27/07/2022,02/08/2022,48,378,284112
27/07/2022,02/08/2022,53,789,452723
27/07/2022,02/08/2022,19,301,107673
03/08/2022,09/08/2022,6,102,429897
03/08/2022,09/08/2022,21,1059,445230
03/08/2022,09/08/2022,48,633,156043
03/08/2022,09/08/2022,53,655,135928
03/08/2022,09/08/2022,19,1590,85461
10/08/2022,16/08/2022,6,1447,398916
10/08/2022,16/08/2022,21,1578,6373
10/08/2022,16/08/2022,48,1219,350728
10/08/2022,16/08/2022,53,1138,79146
10/08/2022,16/08/2022,19,843,93946
17/08/2022,23/08/2022,6,499,289436
17/08/2022,23/08/2022,21,1559,67426
17/08/2022,23/08/2022,48,1336,100092
17/08/2022,23/08/2022,53,1085,415108
17/08/2022,23/08/2022,19,1633,272226
24/08/2022,30/08/2022,6,638,17995
24/08/2022,30/08/2022,21,184,130942
24/08/2022,30/08/2022,48,760,146018
24/08/2022,30/08/2022,53,30,96612
24/08/2022,30/08/2022,19,134,416457
31/08/2022,06/09/2022,6,704,20496
31/08/2022,06/09/2022,21,1456,128411
31/08/2022,06/09/2022,48,665,296545
31/08/2022,06/09/2022,53,1369,314176
31/08/2022,06/09/2022,19,144,266512
07/09/2022,13/09/2022,6,249,281878
07/09/2022,13/09/2022,21,1444,81209
07/09/2022,13/09/2022,48,720,27038
07/09/2022,13/09/2022,53,1466,298970
07/09/2022,13/09/2022,19,326,345601
14/09/2022,20/09/2022,6,550,476245
14/09/2022,20/09/2022,21,116,434005
14/09/2022,20/09/2022,48,1404,11231
14/09/2022,20/09/2022,53,960,339051
14/09/2022,20/09/2022,19,1170,238041
21/09/2022,27/09/2022,6,1021,172312
21/09/2022,27/09/2022,21,1575,24566
21/09/2022,27/09/2022,48,656,305523
21/09/2022,27/09/2022,53,800,97135
21/09/2022,27/09/2022,19,773,472391
28/09/2022,04/10/2022,6,558,279414
28/09/2022,04/10/2022,21,687,152092
28/09/2022,04/10/2022,48,1560,460758
28/09/2022,04/10/2022,53,381,485440
28/09/2022,04/10/2022,19,65,68324
05/10/2022,11/10/2022,6,1105,141848
05/10/2022,11/10/2022,21,999,347245
05/10/2022,11/10/2022,48,1421,111624
05/10/2022,11/10/2022,53,1111,335807
05/10/2022,11/10/2022,19,118,396479
12/10/2022,18/10/2022,6,1039,386635
12/10/2022,18/10/2022,21,275,101754
12/10/2022,18/10/2022,48,162,345616
12/10/2022,18/10/2022,53,1099,389898
12/10/2022,18/10/2022,19,776,327000
19/10/2022,25/10/2022,6,242,489880
19/10/2022,25/10/2022,21,1320,49699
19/10/2022,25/10/2022,48,66,320310
19/10/2022,25/10/2022,53,982,165917
19/10/2022,25/10/2022,19,1002,428580
21/10/2022,01/11/2022,6,1178,375283
21/10/2022,01/11/2022,21,1578,132365
21/10/2022,01/11/2022,48,1147,330178
21/10/2022,01/11/2022,53,5,461440
21/10/2022,01/11/2022,19,1084,427699
02/11/2022,08/11/2022,6,1373,206816
02/11/2022,08/11/2022,21,588,170641
02/11/2022,08/11/2022,48,1177,350914
02/11/2022,08/11/2022,53,943,442487
02/11/2022,08/11/2022,19,428,336461
